MinE_Orb; E_min; Last_Orb; E_last; Last_MO
0; -24.649140; 0; -24.645880;  1F
1; -1.156600; 1; -1.040650;  1F
2; -0.523400; 4; -0.306540;  1F
3; -0.382800; 3; -0.337280;  1F
4; -0.382800; 2; -0.337280;  1F
5; 0.052270; 5; -0.305230;  0H 1F
6; 0.596320; 6; 0.377940;  0H
7; 1.132580; 10; 1.189410;  1F
8; 1.132580; 9; 1.189410; 
9; 1.144400; 7; 1.114320;  1F
10; 1.356710; 8; 1.177430;  1F
11; 1.469780; 11; 1.305080;  0H
12; 1.469780; 12; 1.305080;  0H
13; 2.337810; 13; 1.305080; 
14; 3.100130; 18; 3.147590; 
15; 3.106560; 17; 3.147580; 
16; 3.442760; 16; 3.121620; 
17; 3.442760; 15; 3.121620;  1F
18; 4.276230; 14; 3.114810;  1F

