MinE_MO; E_MinE_MO; Frag_MO; E_Frag_MO;Occup;Frag;dE. Hartree;dE. %
0;-14.73092;0;-14.441894;2;N2;-0.289026;-21.9
1;-14.69579;1;-14.440486;2;N2;-0.255304000000001;-19.4
2;-10.47516;0;-10.521741;2;Ph+;0.046581;3.5
3;-10.4129;1;-10.446997;2;Ph+;0.034096999999999;2.6
4;-10.41282;2;-10.446928;2;Ph+;0.034108;2.6
5;-10.39461;3;-10.433769;2;Ph+;0.039159;3.0
6;-10.38697;4;-10.433741;2;Ph+;0.046771;3.5
7;-10.38693;5;-10.406684;2;Ph+;0.019754000000001;1.5
8;-1.38124;2;-1.123113;2;N2;-0.258127;-19.6
9;-1.1114;6;-1.121774;2;Ph+;0.010374;0.8
10;-1.02373;7;-1.006976;2;Ph+;-0.016754;-1.3
11;-0.96079;8;-0.974515;2;Ph+;0.013725;1.0
12;-0.89664;9;-0.847607;2;Ph+;-0.049033;-3.7
13;-0.82487;10;-0.816774;2;Ph+;-0.008096;-0.6
15;-0.73279;11;-0.748681;2;Ph+;0.015891;1.2
14;-0.77154;12;-0.713119;2;Ph+;-0.058421;-4.4
16;-0.72377;13;-0.674879;2;Ph+;-0.048891;-3.7
17;-0.70713;14;-0.658624;2;Ph+;-0.048506;-3.7
18;-0.68869;3;-0.551624;2;N2;-0.137066;-10.4
19;-0.64959;15;-0.619345;2;Ph+;-0.030245;-2.3
20;-0.63507;16;-0.602197;2;Ph+;-0.032873;-2.5
21;-0.62989;4;-0.461595;2;N2;-0.168295;-12.8
23;-0.56077;5;-0.461584;2;N2;-0.099186;-7.5
22;-0.57412;6;-0.425409;2;N2;-0.148711;-11.3
24;-0.55021;17;-0.589515;2;Ph+;0.039305;3.0
26;-0.45837;18;-0.488601;2;Ph+;0.030231;2.3
25;-0.46925;19;-0.486108;0;Ph+;0.016858;
27;-0.29594;20;-0.349774;0;Ph+;0.053834;
28;-0.28133;7;-0.022965;0;N2;-0.258365;
29;-0.20255;21;-0.243236;0;Ph+;0.040686;
30;-0.17579;8;-0.022962;0;N2;-0.152828;
31;-0.09953;22;-0.218151;0;Ph+;0.118621;
33;-0.03259;23;-0.089588;0;Ph+;0.056998;
34;-0.02599;24;-0.073242;0;Ph+;0.047252;
35;-0.00573;25;-0.054358;0;Ph+;0.048628;
36;0.01831;26;-0.034471;0;Ph+;0.052781;
32;-0.04073;27;-0.012115;0;Ph+;-0.028615;
37;0.01889;28;-0.006079;0;Ph+;0.024969;
38;0.06759;29;0.04884;0;Ph+;0.01875;
39;0.10555;30;0.052907;0;Ph+;0.052643;
40;0.12427;31;0.105619;0;Ph+;0.018651;
;;;;;;;
∑dE;-105.77671;;-104.458172;;;-1.318538;-100.0
