MinE_Orb; E_min; Last_Orb; E_last; Last_MO
0; -19.359880; 0; -19.364980;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
1; -14.703750; 1; -14.475800;  11N 10N
2; -14.663490; 2; -14.474360;  11N 10N
4; -10.450250; 4; -10.462490;  13C 9H 8H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
3; -10.451760; 3; -10.492590;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
5; -10.403050; 6; -10.430930;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
6; -10.397830; 5; -10.431240;  13C 9H 8H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
7; -10.384650; 9; -10.391700;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
8; -10.376240; 8; -10.411400;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
9; -10.371010; 7; -10.413410;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
10; -1.350800; 11; -1.156980;  11N 10N
11; -1.253090; 10; -1.258950;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
12; -1.092840; 12; -1.099680;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
13; -1.008440; 13; -0.990690;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
14; -0.952780; 14; -0.956080;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
15; -0.905870; 15; -0.878210;  13C 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
16; -0.842720; 16; -0.832190;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
17; -0.811650; 17; -0.792330;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
20; -0.706940; 26; -0.585550;  11N 10N
18; -0.757440; 18; -0.727490;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
19; -0.711810; 19; -0.700420;  13C 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
21; -0.704900; 21; -0.664940;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
25; -0.632840; 24; -0.594490;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
22; -0.670960; 20; -0.667710;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
23; -0.651150; 20; -0.667710;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
24; -0.634410; 22; -0.646030;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
26; -0.622660; 25; -0.592900;  13C 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
27; -0.597350; 31; -0.495440;  11N 10N
28; -0.580950; 30; -0.495460;  11N 10N
29; -0.561590; 27; -0.574980;  13C 9H 8H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
30; -0.545930; 33; -0.459340;  11N 10N
31; -0.511100; 29; -0.510520;  13C 9H 8H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
32; -0.497810; 28; -0.526680;  13C 9H 16H 6H 12O 0C 1C 14H 2C 3C 15H 4C 5C
33; -0.451110; 32; -0.472400;  13C 9H 8H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
34; -0.416080; 34; -0.425100;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
35; -0.269470; 36; -0.227580;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
36; -0.258660; 41; -0.056830;  11N 10N
37; -0.190890; 37; -0.199460;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
38; -0.151480; 40; -0.056860;  11N 10N
39; -0.083230; 35; -0.336200;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 12O 4C 5C
40; -0.041000; 38; -0.084710;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
41; -0.032100; 39; -0.057770;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
43; -0.019540; 43; -0.035590;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
44; 0.007950; 44; -0.032710;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
45; 0.015460; 45; -0.004740;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
46; 0.028280; 46; 0.013870;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
47; 0.030660; 47; 0.021630;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
42; -0.023500; 42; -0.048400;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 12O 4C 5C
48; 0.045540; 48; 0.027260;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
49; 0.057440; 49; 0.042700;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
50; 0.114840; 50; 0.079430;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
51; 0.129050; 51; 0.115620;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
52; 0.148520; 52; 0.143310;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
53; 0.172310; 53; 0.152820;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
54; 0.209700; 55; 0.277970;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
55; 0.286330; 56; 0.295970;  13C 9H 8H 16H 6H 7H 0C 1C 2C 3C 15H 12O 4C 5C
56; 0.320350; 55; 0.277970;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
59; 0.337780; 58; 0.355550;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
58; 0.333490; 56; 0.295970;  13C 9H 8H 16H 6H 7H 0C 1C 2C 3C 15H 12O 4C 5C
59; 0.337780; 58; 0.355550;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
62; 0.379270; 66; 0.414160;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
60; 0.368190; 66; 0.414160;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
61; 0.376670; 58; 0.355550;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
64; 0.408810; 66; 0.414160;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
60; 0.368190; 66; 0.414160;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
