MinE_MO; E_MinE_MO; Last_MO; E_Last_MO; Frag_MO; E_Frag_MO; Occ; Frag; Localisation
0; -19.359880; 0; -19.364980;  0; -19.364731; 2; 4-MeOPh+; 13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
1; -14.703750; 1; -14.475800;  0; -14.441894; 2; N2; 11N 10N
2; -14.663490; 2; -14.474360;  1; -14.440486; 2; N2; 11N 10N
4; -10.450250; 4; -10.462490;  1; -10.492699; 2; 4-MeOPh+; 13C 9H 8H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
3; -10.451760; 3; -10.492590;  2; -10.462386; 2; 4-MeOPh+; 13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
5; -10.403050; 6; -10.430930;  3; -10.431352; 2; 4-MeOPh+; 13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
6; -10.397830; 5; -10.431240;  4; -10.430956; 2; 4-MeOPh+; 13C 9H 8H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
7; -10.384650; 9; -10.391700;  5; -10.413234; 2; 4-MeOPh+; 13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
8; -10.376240; 8; -10.411400;  6; -10.411742; 2; 4-MeOPh+; 13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
9; -10.371010; 7; -10.413410;  7; -10.391611; 2; 4-MeOPh+; 13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
10; -1.350800; 11; -1.156980;  2; -1.123113; 2; N2;  11N 10N
11; -1.253090; 10; -1.258950;  8; -1.259043; 2; 4-MeOPh+; 13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
12; -1.092840; 12; -1.099680;  9; -1.099739; 2; 4-MeOPh+; 13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
13; -1.008440; 13; -0.990690; 10; -0.990705; 2; 4-MeOPh+; 13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
14; -0.952780; 14; -0.956080; 11; -0.956163; 2; 4-MeOPh+; 13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
15; -0.905870; 15; -0.878210; 12; -0.878302; 2; 4-MeOPh+; 13C 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
16; -0.842720; 16; -0.832190; 13; -0.832238; 2; 4-MeOPh+; 13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
17; -0.811650; 17; -0.792330; 14; -0.792356; 2; 4-MeOPh+; 13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
20; -0.706940; 26; -0.585550;  3; -0.551624; 2; N2;  11N 10N
