MinE_MO; E_MinE_MO; Last_MO; E_Last_MO; Frag_MO; E_Frag_MO; Occ; Frag; Localisation
0; -19.334780; 1; -19.350340; 0; -19.350488; 2; 4-NO2Ph+; 9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
1; -19.334710; 0; -19.350440; 1; -19.350417; 2; 4-NO2Ph+; 9H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
3; -14.725950; 2; -14.743780; 2; -14.743886; 2; 4-NO2Ph+; 9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
2; -14.749590; 3; -14.472770; 0; -14.441894; 2; N2; 14N 13N
4; -14.716530; 4; -14.471340; 1; -14.440486; 2; N2; 14N 13N
5; -10.497180; 5; -10.550390; 3; -10.550499; 2; 4-NO2Ph+; 9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
6; -10.448160; 8; -10.464080; 4; -10.470755; 2; 4-NO2Ph+; 9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
7; -10.434170; 6; -10.470660; 5; -10.470720; 2; 4-NO2Ph+; 9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
8; -10.434140; 7; -10.470510; 6; -10.464166; 2; 4-NO2Ph+; 9H 8H 10N 11O 7H 0C 1C 2C 3C 12O 4C 5C
10; -10.409680; 9; -10.458140; 7; -10.458234; 2; 4-NO2Ph+; 9H 8H 10N 6H 11O 12O 0C 1C 2C 3C 4C 5C
9; -10.409690; 10; -10.458080; 8; -10.458196; 2; 4-NO2Ph+; 9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
11; -1.400960; 13; -1.153970; 2; -1.123113; 2; N2; 14N 13N
12; -1.383800; 11; -1.400260; 9; -1.400377; 2; 4-NO2Ph+; 9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
13; -1.214590; 12; -1.231420; 10; -1.231498; 2; 4-NO2Ph+; 9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
14; -1.133490; 14; -1.151980; 11; -1.152042; 2; 4-NO2Ph+; 9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
15; -1.058140; 16; -1.025860; 12; -1.034506; 2; 4-NO2Ph+; 9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
16; -0.983860; 15; -1.034450; 13; -1.025974; 2; 4-NO2Ph+; 9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
17; -0.955110; 17; -0.893510; 14; -0.893622; 2; 4-NO2Ph+; 9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
18; -0.850130; 18; -0.875460; 15; -0.875542; 2; 4-NO2Ph+; 9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
19; -0.840780; 19; -0.820460; 16; -0.820550; 2; 4-NO2Ph+; 9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
21; -0.751730; 23; -0.707220; 17; -0.744450; 2; 4-NO2Ph+; 9H 8H 10N 6H 11O 12O 0C 1C 2C 3C 4C 5C
20; -0.781630; 20; -0.744370; 18; -0.739333; 2; 4-NO2Ph+; 9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
22; -0.746900; 21; -0.739230; 19; -0.707327; 2; 4-NO2Ph+; 9H 8H 10N 6H 11O 12O 0C 1C 2C 3C 4C 5C
23; -0.721750; 22; -0.707250; 20; -0.707311; 2; 4-NO2Ph+; 9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
25; -0.689660; 27; -0.641310; 21; -0.693771; 2; 4-NO2Ph+; 9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
24; -0.709160; 25; -0.675310; 22; -0.675402; 2; 4-NO2Ph+; 9H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
26; -0.680570; 24; -0.693720; 23; -0.665147; 2; 4-NO2Ph+; 9H 8H 10N 11O 7H 0C 1C 2C 3C 12O 4C 5C
28; -0.653510; 26; -0.665060; 24; -0.641378; 2; 4-NO2Ph+; 9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
27; -0.664820; 29; -0.582520; 3; -0.551624; 2; N2; 14N 13N
30; -0.623480; 37; -0.456300; 4; -0.461595; 2; N2; 14N 13N
29; -0.647980; 33; -0.492430; 5; -0.461584; 2; N2; 14N 13N
31; -0.593880; 37; -0.456300; 6; -0.425409; 2; N2; 14N 13N
32; -0.573380; 28; -0.613190; 25; -0.613254; 2; 4-NO2Ph+; 9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
34; -0.480670; 31; -0.511640; 26; -0.513353; 2; 4-NO2Ph+; 9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
33; -0.492920; 30; -0.513280; 27; -0.511723; 2; 4-NO2Ph+; 9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
35; -0.459530; 36; -0.463280; 28; -0.475708; 2; 4-NO2Ph+; 9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
36; -0.459380; 35; -0.475180; 29; -0.475215; 2; 4-NO2Ph+; 9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
37; -0.447170; 34; -0.475590; 30; -0.463407; 2; 4-NO2Ph+; 9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
38; -0.319980; 39; -0.273550; 31; -0.372716; 0; 4-NO2Ph+; 9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
39; -0.299050; 45; -0.053830; 7; -0.022965; 0; N2; 14N 13N
41; -0.224260; 40; -0.265200; 32; -0.273586; 0; 4-NO2Ph+; 9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
40; -0.233970; 41; -0.200590; 33; -0.265276; 0; 4-NO2Ph+; 9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
