MinE_Orb; E_min; Last_Orb; E_last; Last_MO
0; -14.730920; 0; -14.472180;  (8N-1pz 0.000004) (8N-3s 0.003462) (8N-2px 0.000701) (8N-2py 0.000013) (8N-1dx2y2 0.000404) (8N-1dxy 0.000015) (9N-1px 0.001197) (9N-1py 0.000023) (9N-3s 0.006399) (9N-2pz 0.000015) (9N-1dx2y2 0.000051) (9N-1dxy 0.000002)
1; -14.695790; 1; -14.470750;  (8N-1s 0.763759) (8N-2s 0.024973) (8N-1px 0.004508) (8N-1py 0.000085) (8N-2pz 0.000050) (8N-1dx2y2 0.001926) (8N-1dxy 0.000073) (9N-1px 0.004372) (9N-1py 0.000083) (9N-3s 0.016034) (9N-2pz 0.000048) (9N-1dz2 0.001136) (9N-1dxz 0.000037)
2; -10.475160; 2; -10.521690;  (0C-1s 0.000083) (0C-2s 0.000652) (0C-1pz 0.000248) (0C-3s 0.001043) (0C-2px 0.000737) (0C-1dxz 0.000155) (0C-1dx2y2 0.000020) (0C-1dxy 0.000075) (1C-2s 0.002640) (1C-1pz 0.001811) (1C-1py 0.000893) (1C-2px 0.002368) (1C-1dz2 0.001012) (1C-1dyz 0.000799) (1C-1dx2y2 0.000185) (2C-1pz 0.001086) (2C-1px 0.000074) (2C-3s 0.028634) (2C-2py 0.004388) (2C-1dxz 0.001276) (2C-1dx2y2 0.000172) (2C-1dxy 0.001277) (3C-2s 0.002639) (3C-1px 0.001107) (3C-2pz 0.003731) (3C-2py 0.002063) (3C-1dyz 0.000677) (4C-1s 0.000083) (4C-2s 0.000653) (4C-1pz 0.000100) (4C-1px 0.000072) (4C-3s 0.001038) (4C-2pz 0.000750) (4C-2py 0.001096) (4C-1dz2 0.000060) (4C-1dxz 0.000060) (4C-1dx2y2 0.000132) (4C-1dxy 0.000179) (5C-1s 0.000130) (5C-2s 0.000586) (5C-1pz 0.000172) (5C-1px 0.000012) (5C-3s 0.000152) (5C-2py 0.000820) (5C-1dxz 0.000060) (5C-1dyz 0.000088) (5C-1dx2y2 0.000099) (5C-1dxy 0.000088) (6H-1py 0.000024) (7H-1s 0.000167) (7H-1pz 0.000144) (10H-1pz 0.000005) (11H-1px 0.000009) (12H-1s 0.000166) (12H-1pz 0.000024) (12H-1px 0.000057)
3; -10.412900; 4; -10.446670;  (0C-2s 0.001238) (0C-1pz 0.000741) (0C-1px 0.000033) (0C-2px 0.001215) (0C-2py 0.001594) (0C-1dz2 0.000435) (0C-1dxz 0.000055) (1C-1px 0.000575) (1C-3s 0.032898) (1C-2pz 0.001386) (1C-2py 0.009234) (1C-1dz2 0.000167) (1C-1dxz 0.000673) (1C-1dx2y2 0.000700) (1C-1dxy 0.001185) (2C-1s 0.005852) (2C-2s 0.003000) (2C-1px 0.000762) (2C-2pz 0.005302) (2C-1dz2 0.000806) (2C-1dyz 0.000760) (3C-1pz 0.000006) (3C-1py 0.000160) (3C-3s 0.007031) (3C-2px 0.001606) (3C-1dz2 0.000160) (3C-1dyz 0.000014) (3C-1dx2y2 0.000170) (3C-1dxy 0.000186) (4C-2s 0.000415) (4C-1pz 0.000034) (4C-1px 0.000037) (4C-2pz 0.000141) (4C-2py 0.002367) (4C-1dxz 0.000018) (5C-1px 0.000101) (5C-3s 0.005156) (5C-2pz 0.002543) (5C-2px 0.000083) (5C-1dxz 0.000028) (6H-1s 0.000192) (6H-1pz 0.000071) (6H-1px 0.000015) (7H-1s 0.002317) (7H-1pz 0.000138) (7H-1py 0.001693) (10H-1s 0.000101) (10H-2s 0.000654) (10H-1py 0.000023) (11H-1px 0.000002) (12H-1s 0.000256) (12H-2s 0.000842) (12H-1px 0.000019) (12H-1py 0.000014)
4; -10.412820; 3; -10.446720;  (0C-1pz 0.000025) (0C-1px 0.000033) (0C-3s 0.003135) (0C-2pz 0.001423) (0C-2py 0.000587) (0C-1dz2 0.000035) (0C-1dxz 0.000017) (1C-1pz 0.000024) (1C-1px 0.000043) (1C-2pz 0.000034) (1C-2px 0.001015) (1C-1dz2 0.000285) (1C-1dx2y2 0.000171) (1C-1dxy 0.000230) (2C-1px 0.000988) (2C-3s 0.014489) (2C-2pz 0.000285) (2C-2py 0.005143) (2C-1dz2 0.000561) (2C-1dxz 0.000362) (2C-1dx2y2 0.000671) (2C-1dxy 0.001091) (3C-1s 0.990736) (3C-2s 0.037198) (3C-1px 0.000579) (3C-2pz 0.008818) (3C-2py 0.001875) (3C-1dz2 0.000777) (3C-1dyz 0.000653) (4C-1s 0.011388) (4C-1py 0.000670) (4C-3s 0.012161) (4C-2pz 0.002047) (4C-2px 0.001554) (4C-1dyz 0.001038) (4C-1dx2y2 0.000495) (4C-1dxy 0.000094) (5C-1s 0.000063) (5C-2s 0.000094) (5C-1px 0.000108) (5C-2py 0.001977) (5C-1dxz 0.000043) (5C-1dyz 0.000007) (6H-1s 0.000062) (6H-2s 0.000350) (6H-1pz 0.000010) (6H-1px 0.000005) (7H-1s 0.000174) (7H-1pz 0.000045) (7H-1py 0.000244) (10H-1pz 0.000022) (11H-2s 0.000780) (11H-1px 0.000003) (11H-1py 0.000064) (12H-2s 0.000675) (12H-1pz 0.001746) (12H-1py 0.000249)
5; -10.394610; 6; -10.433430;  (0C-1px 0.000083) (0C-1py 0.000221) (0C-3s 0.028568) (0C-2pz 0.006113) (0C-2py 0.001236) (0C-1dxz 0.000629) (0C-1dx2y2 0.000398) (0C-1dxy 0.000622) (1C-1s 0.011401) (1C-2s 0.002004) (1C-1py 0.000793) (1C-2pz 0.001310) (1C-2px 0.001503) (1C-1dz2 0.000389) (1C-1dxz 0.000114) (2C-1s 0.000010) (2C-2s 0.000649) (2C-1px 0.000081) (2C-3s 0.001571) (2C-2px 0.000229) (2C-1dxz 0.000004) (2C-1dyz 0.000268) (2C-1dx2y2 0.000110) (2C-1dxy 0.000009) (3C-2s 0.000277) (3C-1px 0.000038) (3C-1py 0.000012) (3C-2pz 0.001099) (3C-1dz2 0.000058) (3C-1dxz 0.000002) (3C-1dx2y2 0.000044) (3C-1dxy 0.000062) (4C-1px 0.000131) (4C-3s 0.003228) (4C-2px 0.000509) (4C-1dxz 0.000017) (4C-1dyz 0.000093) (4C-1dx2y2 0.000089) (4C-1dxy 0.000066) (5C-2s 0.001697) (5C-1px 0.000567) (5C-2py 0.004650) (5C-1dyz 0.000351) (6H-1s 0.001931) (6H-1pz 0.001505) (6H-1py 0.000363) (7H-1s 0.000118) (7H-1px 0.000033) (7H-1py 0.000037) (10H-1s 0.000145) (10H-1px 0.000045) (11H-1s 0.000043) (11H-1pz 0.000009) (12H-1pz 0.000019) (12H-1py 0.000022)
6; -10.386970; 5; -10.433500;  (0C-1px 0.000142) (0C-2px 0.000343) (0C-1dz2 0.000066) (1C-1s 0.000691) (1C-1px 0.000044) (1C-3s 0.000711) (1C-2py 0.000885) (1C-1dz2 0.000087) (2C-1px 0.000076) (2C-2px 0.000245) (2C-1dz2 0.000059) (2C-1dxz 0.000030) (3C-1pz 0.000860) (3C-1px 0.000028) (3C-3s 0.009824) (3C-2px 0.001089) (3C-2py 0.000997) (3C-1dyz 0.001176) (3C-1dx2y2 0.000509) (3C-1dxy 0.000055) (4C-1s 0.994752) (4C-2s 0.036396) (4C-1pz 0.000251) (4C-1px 0.000142) (4C-2pz 0.000879) (4C-2py 0.005964) (4C-1dz2 0.000171) (4C-1dyz 0.000067) (5C-1s 0.007936) (5C-1px 0.000517) (5C-3s 0.010317) (5C-2pz 0.004825) (5C-1dxz 0.000808) (5C-1dxy 0.000176) (6H-1s 0.000040) (6H-2s 0.000079) (6H-1pz 0.000054) (6H-1py 0.000024) (7H-1s 0.000067) (7H-2s 0.000416) (7H-1pz 0.000016) (7H-1py 0.000022) (10H-2s 0.001018) (10H-1px 0.000045) (11H-2s 0.001603) (11H-1pz 0.000279) (11H-1py 0.001484) (12H-2s 0.000819) (12H-1pz 0.000048) (12H-1px 0.000046)
7; -10.386930; 7; -10.406420;  (0C-1px 0.000608) (0C-3s 0.013791) (0C-2pz 0.004616) (0C-2py 0.003286) (0C-1dz2 0.000606) (0C-1dxz 0.000162) (0C-1dx2y2 0.000659) (0C-1dxy 0.000923) (1C-1s 0.000091) (1C-2s 0.000158) (1C-1pz 0.000109) (1C-1px 0.000036) (1C-2px 0.001692) (1C-1dz2 0.000089) (1C-1dyz 0.000016) (1C-1dx2y2 0.000051) (1C-1dxy 0.000044) (2C-1pz 0.000011) (2C-3s 0.007157) (2C-2py 0.001533) (2C-1dz2 0.000057) (3C-1s 0.000092) (3C-2s 0.000159) (3C-1pz 0.000172) (3C-2pz 0.003453) (3C-2py 0.000629) (3C-1dxz 0.000039) (3C-1dyz 0.000002) (4C-1pz 0.001159) (4C-1py 0.000308) (4C-3s 0.013789) (4C-2px 0.003217) (4C-1dxz 0.000829) (4C-1dxy 0.000194) (5C-1s 0.995029) (5C-2s 0.037065) (5C-1pz 0.000357) (5C-1px 0.000025) (5C-2py 0.006103) (5C-1dz2 0.000411) (6H-2s 0.001142) (6H-1pz 0.000038) (6H-1px 0.000033) (7H-1py 0.000050) (10H-2s 0.001006) (10H-1py 0.001151) (11H-2s 0.001141) (11H-1pz 0.000104) (12H-1px 0.000020)
8; -1.381240; 8; -1.153370;  (8N-2s 0.338259) (8N-1px 0.229607) (8N-1py 0.004332) (8N-3s 0.187871) (8N-2px 0.032319) (8N-2py 0.000606) (8N-1dx2y2 0.019914) (8N-1dxy 0.000751) (9N-2s 0.338264) (9N-1pz 0.002151) (9N-3s 0.187462) (9N-2pz 0.000311) (9N-1dx2y2 0.019944) (9N-1dxy 0.000754)
9; -1.111400; 9; -1.121630;  (0C-2s 0.146250) (0C-1pz 0.064138) (0C-3s 0.117590) (0C-2pz 0.030353) (0C-2py 0.005746) (0C-1dz2 0.004870) (1C-2s 0.195385) (1C-1pz 0.030549) (1C-1py 0.077664) (1C-3s 0.068344) (1C-2px 0.011636) (1C-1dz2 0.001861) (1C-1dyz 0.000771) (2C-2s 0.257049) (2C-1py 0.053219) (2C-3s 0.206296) (2C-2py 0.022439) (2C-1dz2 0.003661) (2C-1dyz 0.002823) (3C-2s 0.195449) (3C-1px 0.042955) (3C-3s 0.068403) (3C-2pz 0.022315) (3C-2py 0.005599) (3C-1dz2 0.003737) (3C-1dyz 0.000905) (4C-2s 0.146331) (4C-1pz 0.007230) (4C-1px 0.025942) (4C-3s 0.117782) (4C-2px 0.014991) (4C-1dz2 0.002169) (5C-2s 0.126864) (5C-1pz 0.042299) (5C-1px 0.002918) (5C-3s 0.033943) (5C-2py 0.006655) (5C-1dz2 0.002436) (6H-1s 0.024732) (6H-2s 0.009094) (6H-1pz 0.002275) (6H-1py 0.000409) (7H-1s 0.029899) (7H-1pz 0.000649) (7H-1py 0.002971) (10H-1s 0.019598) (10H-1pz 0.001792) (10H-1px 0.000122) (11H-1s 0.024750) (11H-2s 0.009069) (11H-1px 0.001114) (12H-1s 0.029907) (12H-1px 0.001416)
