MinE_Orb; E_min; Last_Orb; E_last; Last_MO
0; -14.730920; 0; -14.472180;  8N 9N
1; -14.695790; 1; -14.470750;  8N 9N
2; -10.475160; 2; -10.521690;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
3; -10.412900; 4; -10.446670;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
4; -10.412820; 3; -10.446720;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
5; -10.394610; 6; -10.433430;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
6; -10.386970; 5; -10.433500;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
7; -10.386930; 7; -10.406420;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
8; -1.381240; 8; -1.153370;  8N 9N
9; -1.111400; 9; -1.121630;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
10; -1.023730; 11; -0.974390;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
11; -0.960790; 10; -1.006870;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
12; -0.896640; 13; -0.816610;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
13; -0.824870; 12; -0.847480;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
15; -0.732790; 18; -0.619270;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
14; -0.771540; 14; -0.748550;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
16; -0.723770; 15; -0.712960;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
17; -0.707130; 16; -0.674780;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
18; -0.688690; 21; -0.581920;  8N 9N
19; -0.649590; 17; -0.658430;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
20; -0.635070; 19; -0.602110;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
21; -0.629890; 22; -0.491840;  8N 9N
23; -0.560770; 26; -0.455710;  8N 9N
22; -0.574120; 23; -0.491840;  8N 9N
24; -0.550210; 20; -0.589390;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
26; -0.458370; 25; -0.486060;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
25; -0.469250; 24; -0.488550;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
27; -0.295940; 29; -0.217950;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
28; -0.281330; 33; -0.053230;  8N 9N
29; -0.202550; 28; -0.243180;  10H 12H 6H 7H 0C 1C 2C 3C 4C 5C
30; -0.175790; 34; -0.053230;  8N 9N
31; -0.099530; 27; -0.349610;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
33; -0.032590; 32; -0.054490;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
34; -0.025990; 30; -0.089620;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
35; -0.005730; 35; -0.034720;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
36; 0.018310; 36; -0.012020;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
32; -0.040730; 31; -0.072970;  10H 12H 11H 7H 0C 1C 2C 3C 4C 5C
37; 0.018890; 37; -0.005840;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
38; 0.067590; 39; 0.053270;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
39; 0.105550; 38; 0.049200;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
40; 0.124270; 40; 0.106040;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
41; 0.147470; 41; 0.152390;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
42; 0.175520; 42; 0.211160;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
43; 0.250170; 43; 0.218900;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
44; 0.303260; 44; 0.280580;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
45; 0.312920; 45; 0.295220;  10H 12H 6H 0C 1C 2C 3C 4C 5C
46; 0.327090; 50; 0.385150;  8N 9N
47; 0.356360; 46; 0.368450;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
49; 0.373750; 46; 0.368450;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
48; 0.363850; 48; 0.375720;  10H 6H 11H 7H 0C 1C 2C 3C 4C 5C
51; 0.401570; 46; 0.368450;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
53; 0.426090; 55; 0.448700;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
50; 0.392690; 46; 0.368450;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
52; 0.406800; 52; 0.392030;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
52; 0.406800; 52; 0.392030;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
56; 0.470910; 51; 0.389600;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
54; 0.435290; 53; 0.435220;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
57; 0.495820; 57; 0.522910;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
60; 0.559650; 59; 0.576500;  8N 9N
58; 0.501300; 59; 0.576500;  8N 9N
59; 0.540240; 60; 0.576500;  8N 9N
61; 0.593090; 61; 0.597100;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
64; 0.644840; 63; 0.610140;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
63; 0.635170; 62; 0.604310;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
65; 0.657930; 70; 0.721970;  8N 9N
66; 0.669890; 65; 0.645850;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
